"id","name","description","price_type","price_s","price","price_m","price_l","price_xl"
"153","Margherita<sup>2</sup>","mit K&auml;se und Tomaten",,,,"8,00",,
"162","Margherita<sup>2</sup>","mit K&auml;se und Tomaten",,,,"8,00",,
"163","Pizza Zwiebeln","mit Tomatenso&szlig;e, K&auml;se und Zwiebeln",,,,"8,50",,
"164","Salami","<sup>2 3</sup> mit Salami, K&auml;se und Tomaten",,,,"8,50",,
"165","Prosciutto","mit Schinken, K&auml;se und Tomaten",,,,"8,50",,
"166","Funghi","mit Champignons, Tomaten und K&auml;se",,,,"8,50",,
"167","Regina","mit Vorderschinken<sup>2</sup> und Champignons",,,,"9,00",,
"168","Roma","mit Vorderschinken<sup>2</sup>, Champignons und Peperoni",,,,"9,50",,
"169","Pizza Salami","mit Salami<sup>2 3</sup> und Pepperoni",,,,"9,50",,
"170","Parma","mit Vorderschinken<sup>2</sup>, Salami<sup>2 3</sup> und Champignons",,,,"9,50",,
"171","Romana","mit Vorderschinken<sup>2</sup>, Salami<sup>2 3</sup>, Champignons, Peperoni und Oliven",,,,"10,00",,
"172","Ankona","mit Hackfleisch, Salami<sup>2 3</sup>, Vorderschinken<sup>2</sup>, Champignons und Zwiebeln",,,,"10,00",,
"173","Balamo","mit Hackfleisch, Salami<sup>2 3</sup>, Vorderschinken<sup>2</sup>, Speck<sup>2 3</sup>und Jalapenos",,,,"10,00",,
"174","Ostia","mit Hackfleisch, Salami<sup>2 3</sup>, Vorderschinken<sup>2</sup>, Kapern, Paprika und Peperoni",,,,"10,00",,
"175","Milane","mit Hackfleisch, Salami<sup>2 3</sup>, Vorderschinken<sup>2</sup>, Speck<sup>2 3</sup>, Jalapenos und Knoblauch",,,,"10,00",,
"176","Krabben","mit Thunfisch, Tintenfisch, Krabben, Artischocken und Knoblauch",,,,"11,00",,
"177","Frutti de Mare","mit Meeresfr&uuml;chten und Knoblauch",,,,"11,00",,
"178","Hawaii","mit Vorderschinken<sup>2</sup> und Ananas",,,,"10,00",,
"179","Quattro Stagioni","Vier Jahreszeiten, Vorderschinken<sup>2</sup>, Salami, Champignons und Peperoni",,,,"10,00",,
"180","Calzone","mit Salami<sup>2 3</sup>, Vorderschinken<sup>2</sup>, Champignons und Peperoni",,,,"11,00",,
"181","Formaggi","mit vier K&auml;sesorten",,,,"10,50",,
"182","Vegetarisch","mit frischem Gem&uuml;se",,,,"10,00",,
"183","Mexikanische Platte","mit Mais, Bohnen, Speck<sup>2 3</sup>, Zwiebeln und Paprika **scharf**",,,,"10,00",,
"184","Tonno","mit Thunfisch und Zwiebeln",,,,"11,00",,
"185","Caprese","mit frischen Tomaten, Mozzarella und Spinat",,,,"10,00",,
"186","Mericana","mit Salami<sup>2 3</sup>, Zwiebeln und Mais",,,,"10,00",,
"187","Diavolo","mit Salami<sup>2 3</sup>,Speck<sup>2 3</sup>, Knoblauch und Peperoni **scharf**",,,,"10,00",,
"188","Capricciosa","mit Salami<sup>2 3</sup>, Vorderschinken<sup>2</sup>, Artischocken und Champignons",,,,"10,00",,
"189","Napoli","mit Sardellen<sup>2</sup>, Kapern und Knoblauch",,,,"10,00",,
"190","Pepperoni","mit Tomatenso&szlig;e, K&auml;se und Pepperoni",,,,"10,00",,
"191","Bela","mit Schinken, frische Tomaten und Gorgonzola",,,,"10,00",,
